Name,Homeworld,Born,Died,Species,Gender,Height,Mass,Hair color,Eye color,Skin color,Cybernetics,Affiliation(s),Masters,Apprentices
0761,,,"5 ABY, Ciutric IV",Human,Male,,,,,,,Galactic EmpireStormtrooper Corps,,
1047,,,,Human[1],Male[2],,,,,,,Galactic Empire[2]Zeta Squadron[2],,
1219,,,,Human,Male,,,,,,,Galactic Empire,,
17786,,,,Human,Male,,,,,,,Galactic EmpireZaarin coup forces,,
224  (Coruscant Security Force),,,"Between 20 and 19 BBY,[1] Coruscant[2]",Human[2],Male[2],,,,,Light[2],,Galactic Republic[2]Coruscant underworld police[2],,
295.902/V8,,,,Human[1],Male[1],,,,,,,Galactic Empire[1]Imperial Army[1],,
3-6,,,"c. 1 BBY,[1] Freighter 2716[2]",Human[3],Male[2],,,,,,,Galactic Empire[2]DT-F16's squad[2],,
3-9,,,2 BBY[source?][1],Human[1],Male[1],,,,Brown[1],Light[1],Cranial implants[1],Galactic Empire[1]Imperial Information Office[1],,
7173,,,"14 BBY,[1] Zeffo[2]",Human[3],Male[2],,,,,,,Galactic Empire[2]Stormtrooper Corps[2],,
73,,,,Human,Male,,,,,,,Galactic Empire,,
761,,,,Human,Male,,,,,,,Galactic Empire,,
915,,,"7 ABY, Thyferra",Human,Male,,,,,,,Galactic Empire,,
Corinna A'Daasha,Corellia[1],,,Human[1],Female[1],,,,,,,Alliance to Restore the Republic[1],,
Kandria A'Daasha,Corellia[1],,,Human[1],Female[1],,,Blonde[1],Blue[1],,,,,
Peita Aabe,,,,Human,Male,Approx. 1.72 meters,,Bald,,,,Galactic EmpireChiss Expansionary Defense Force,,
Aach,Alderaan[1],,,Human[1],Male[1],,,,,,,Alliance to Restore the Republic[1],,
Aagon,,,"5 ABY, Ruusan",Human,Male,,,,,,,Galactic EmpireVengeance Battle Group,,
Aaida,Nar Shaddaa[1],,,Human[1],Female[1],,,Black[1],Brown[1],Light[1],,,,
Aalto,,,,Human[1],Male[2],,,,,,,Jedi Order[2]Galactic Republic[2],,
Aambler,,,,Human[1],Male[1],,,Light brown[1],,Light[1],,Sith Empire[1],,
Grinte Vel Aath,,,,Human,Female,,,,Brown,Light,,Sith Empire,,
Abadaner,Corellia,,,Human,Male,,,,,,,Five Worlds,,
Aban,,,,Human,Male,,,,,,,Galactic EmpireImperial Navy,,
Abbus-Kelo,,,,Human[1],Male[1],,,Black[1],,Brown,,,,
Prewb Abias,,,,Human[1],Male[1],,,,Amber[1],,,The Hyland Organization for Rakghoul Neutralization[1],,
Fassio Ablund,Jedha[1],,,Human[2],Male[2],,,Black[2],,Tanned[2],,,,
Sybegh Abya,Sedesia[1],,,Human[1],Male[1],,,,,,,Alliance to Restore the Republic[1],,
Galiir Ac Yandar,,,,Human[1],Male[1],,,Green (brown eyebrows)[1],Green[1],Fair[1],,Nightstrike Soldier Hegemony[1],,
Acan,,,"19 BBY, Cularin",Human,Male,,,Blond,,,,Organization,,
Paddy Accu,,,,Human[1],Male[1],,,Gray[1],,Fair[1],,Royal House of Naboo[2]Royal Naboo Security Forces[2],,
Ace of Staves  (individual),,,,Human,Male,,,,,,,Bartog Syndicate,,
Darth Acharon,,,"3640 BBY,[1] Corellia[2]",Human[2],Male[2],,,,Orange[2],Pale[2],Extensive facial implants[2],Sith Empire[2]Dark Council[2]Sphere of Biotic Science[3],,
Darth Achelon,,,,Human[1],Male[1],,,Brown[1],Brown[1],Light[1],,Sith Empire[1]Sphere of Ancient Knowledge[1],,
Y'ull Acib,,,,Human[1],Male[1],,,,,,,Black Sun[1]Imperial Center People's Militia[2],,
Darth Acina,,,"3629 BBY[1], Iokath[2]",Human[3],Female[3],,,"Brown[3], later gray[2]",Dark green (natural)Orange (dark side corruption),Light,,Sith Empire[3]Dark Council[3]Sphere of Technology[3],,
Ackmena,,,,Human[1],Female[1],,,Gray[2],,Light[2],,Chalmun's Spaceport Cantina[1],,
Rel Acoi,,,,Human,Male,,,,,,,Oquan,,
Beel Acton,Brentaal IV[1],,,Human[1],Male[1],2.1 meters[1],,Blonde[1],Blue[1],,,,,
Ada,,,,Human[1],Female[1],,,Black[1],Brown[1],Fair[1],,,,
Adacin,,,"3630 BBY,[1] Ord Mantell[2]",Human[2],Female[2],,,White[2],Blue[2],Tan[2],,Sith Empire[2]Sith Order[2]Renegade splinter faction[2],,
Turon Adala,Naboo[1],,,Human[1],Male[1],,,Brown[1],Brown[1],Fair[1],,Royal Naboo Security Forces[1],,
Adam  (Tatooine),Tatooine[1],,,Human[1],Male[1],,,Dark[1],Black[1],Light[1],,,,
Adame,,,,Human[1],Male[1],,,,,,,Alliance to Restore the Republic[1],,
Adana  (Human),Nar Shaddaa[1],,,Human[1],Female[1],,,Blonde[1],Brown,Light[1],,Nar Shaddaa refugees[1],,
Alric Adannon,,,,Human,Male,,,,,,,House Cadriaan,,
Adar  (Imperial),,,,Human[1],Male[1],,,,,,,Galactic Empire[1],,
Ethan Adare,,,,Human[1],Male[1],,,White[1],Brown[1],Dark[1],,Fel Empire[1]Darth Krayt's Galactic Empire[1]Imperial Mission[1],,
Terena Adare,Dantooine[1],,,Human[1],Female[1],,,Dark brown[1],Brown[1],Light[1],,Galactic Republic[1]Khoonda[1],,
Addar,,,,Human[1],Male[1],,,,,,,Church of the Force[1],,
Gez Addar,,,,Human,Male,,,Brown,,Pale,,Galactic Republic,,
Addi'shon,,,,Human,Male,,,Brown,,Dark,,Sith Empire,,
Boz Addle,,,,Human,Male,,,,,,,Galactic RepublicJedi Order,,
Aris Ade,,,,Human[1],Female[1],,,White[1],,Tan[1],,Path of the Open Hand[1],,
Nia Adea,,,,Human[1],Female[1],,,Red[1],Blue[1],Fair[1],,Thirsty Bantha[1],,
Quillara Adeen,,,"1 ABY,[1] Yavin 4[2]",Human[2],Female[2],,,Auburn[2],Green[2],Light[2],,,,
Adelade,,,"3630 BBY,[1] Makeb[2]",Human[2],Female[2],,,,Red[2],Light[2],,Jedi Order[2]Cult of Gethul[2],,
Ubrik Adelhard,,,,Human[1],Male[1],,,"Brown, graying[1]",Brown,Light[1],,Galactic Empire[1]Stormtrooper Corps[2]Anoat sector fleet[1]Ubrik Adelhard's Imperial remnant[1],,
Mytus Adema,Planetoid A.17[1],,,Human[2],Male[2],,,Brown[2],Green[2],Light[2],,Galactic Empire[2]Imperial Officer Corps[2],,
Aden,,,"17 BBY, Felucia",Human,Male,,,,,,,Galactic Empire,,
Aderat,,,,Human[1],Male[1],,,Blond[1],,Pale[1],,First Order[1]First Order military[1],,
Admiral  (soldier),,,,Human[1],Male[1],,,Brown[1],Brown[1],Fair[1],,,,
Adnama,Coruscant[1],,,Human[1],Female[1],,,,,,,,,
Nalia Adollu,Corsin[1],"c.1010 BBY,[2] Corsin[1]",,Human[1],Female[1],Average[3],,Black[1],,,,Jedi Order[1]Galactic Republic[1],Anno Wen-Chii[1],
Adon-larr,,,,Human,Male,,,Dark,Green,Fair,,,,
Adraas,,,3653 BBY[1],Human[1],Male[1],,,,,,,Sith Empire[1]Sith Order[1],,
Joss Adren,,,,Human[1],Male[2],,,Blond[3],Brown[3],Tan[3],,Galactic Republic[2],,
Pikka Adren,,,,Human[1],Female[2],,,Brown[3],Blue[3],Tan[3],,Galactic Republic[1],,
Adrenas,,,"3956 BBY, Korriban[1]",Human[2],Male[2],,,Black[2],Brown[2],Olive[2],,Sith Empire[2]Sith Academy[2],,
Adrick,,,,Human[1],Male[1],,,,Brown[2],Tan[1],,Galactic Empire[1]Imperial Army[1],,
